Date,AAPL,AMZN,AVGO,GOOG,GOOGL,MSFT,NVDA,WMT
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,-0.08431028050776423,-0.08321674053485573,0.0,0.0,0.0,-0.033780427703204774,-0.026700406501287355,-0.03741834300195945
2000-01-05,0.014632980752525393,-0.14874147003469596,0.0,0.0,0.0,0.01054383993085617,-0.03292181351822776,-0.0204083315035406
2000-01-06,-0.0865381716809428,-0.060035815769261425,0.0,0.0,0.0,-0.033498192981919694,-0.06525283632636647,0.010913584923906816
2000-01-07,0.04736912683209127,0.06101049983588447,0.0,0.0,0.0,0.013068302861793724,0.016700186438438624,0.07556287302262432
2000-01-10,-0.017587581236351957,-0.005390890270116189,0.0,0.0,0.0,0.007291017237602615,0.0328291059345176,-0.0182472683997017
2000-01-11,-0.05115136898224992,-0.035230298139103056,0.0,0.0,0.0,-0.025612484951692105,-0.040464280115802165,-0.014869977638679255
2000-01-12,-0.05997274769327832,-0.04775286477327201,0.0,0.0,0.0,-0.03257131588528206,-0.025596060967325363,-0.01792449752764269
2000-01-13,0.1096763471480815,0.03736482955542009,0.0,0.0,0.0,0.018901052254994388,0.041723493731481875,0.0009606421904437834
2000-01-14,0.03811365604050154,-0.02559238813499709,0.0,0.0,0.0,0.04115962565438558,0.04302632098012715,-0.009597133436850536
2000-01-18,0.03484781108081836,-0.0019455697636119318,0.0,0.0,0.0,0.027282840161459543,0.042682697833592353,0.016473201660102577
2000-01-19,0.02525609518678773,0.041910361751539504,0.0,0.0,0.0,-0.07208650745652301,-0.009555655179666167,-0.02287951289128287
2000-01-20,0.06510276853561958,-0.03087000004353535,0.0,0.0,0.0,-0.009345934345995732,-0.002750276351577985,-0.010731176554501842
2000-01-21,-0.019273206623191763,-0.041505747931428805,0.0,0.0,0.0,-0.021226352146903937,-0.011053427817803385,-0.014793390849558996
2000-01-24,-0.04547995487339196,0.12990930010103385,0.0,0.0,0.0,-0.024096084626054393,-0.0446856580778876,-0.04904845305935146
2000-01-25,0.056470061888600265,-0.012477664300919677,0.0,0.0,0.0,0.015431916745268559,-0.008780381511568791,0.029473761634061013
2000-01-26,-0.018374270746939425,-0.06407947570361539,0.0,0.0,0.0,-0.03343488305324671,-0.04129959809869699,0.013292147185204106
2000-01-27,-0.0017015104895428124,0.03278690092513581,0.0,0.0,0.0,-0.006289765705566164,-0.05230706358240078,-0.04540873944391055
2000-01-28,-0.07613627009113189,-0.07843138791368542,0.0,0.0,0.0,-0.005062863182012434,-0.029211522047326466,-0.06765331021176446
2000-01-31,0.020909726693943753,0.04660593967320836,0.0,0.0,0.0,-0.003817122634381609,-0.008360858611239697,-0.006802426671576489
2000-02-01,-0.033734890230726844,0.04453047762076334,0.0,0.0,0.0,0.05172438932021661,0.023596776200110137,0.07191746450816772
2000-02-02,-0.014339291912433993,0.02965706119545053,0.0,0.0,0.0,-0.020643833941391354,0.02801255819754722,-0.005324736421642662
2000-02-03,0.045541401453404795,0.21242123130738233,0.0,0.0,0.0,0.027898379064484446,0.0160249681152016,0.0
2000-02-04,0.04537230591824781,-0.06681514627990826,0.0,0.0,0.0,0.028347581014876333,0.02365758987761679,-0.03533160623476472
2000-02-07,0.05613384896297302,-0.04534603887531674,0.0,0.0,0.0,0.0005866587411740287,-0.06162929943117279,-0.00998918335140897
2000-02-08,0.007123561286736413,0.10833333333333339,0.0,0.0,0.0,0.031066699586703272,0.04761811548158312,0.06726431703789526
2000-02-09,-0.019586891774755033,-0.03458651205650842,0.0,0.0,0.0,-0.05400813666425919,0.025074376134131438,-0.028361405375910698
2000-02-10,0.007769732795460449,-0.05062299594691366,0.0,0.0,0.0,0.019231126860222325,0.20489447756037693,-0.014053604391409458
2000-02-11,-0.04185053574386821,0.0,0.0,0.0,0.0,-0.05719322005715377,0.015233625450623123,-0.016447677494578428
2000-02-14,0.06494235805067716,-0.022969671999252483,0.0,0.0,0.0,-0.003126742681177519,0.1599932374356774,0.05016714072158024
2000-02-15,0.027523163961831187,-0.008396305733096132,0.0,0.0,0.0,-0.010665299897240965,-0.03878935909255876,-0.014861965455019277
